,name,forwards,midfielders,defenders,round,year,total_points
0,3-4-3,27,48,23,1,2016-17,98
1,3-5-2,18,58,23,1,2016-17,99
2,4-3-3,27,37,30,1,2016-17,94
3,4-4-2,18,48,30,1,2016-17,96
4,4-5-1,9,58,30,1,2016-17,97
5,5-2-3,27,26,36,1,2016-17,89
6,5-3-2,18,37,36,1,2016-17,91
7,5-4-1,9,48,36,1,2016-17,93
0,3-4-3,39,46,32,2,2016-17,117
1,3-5-2,26,56,32,2,2016-17,114
2,4-3-3,39,35,41,2,2016-17,115
3,4-4-2,26,46,41,2,2016-17,113
4,4-5-1,13,56,41,2,2016-17,110
5,5-2-3,39,24,50,2,2016-17,113
6,5-3-2,26,35,50,2,2016-17,111
7,5-4-1,13,46,50,2,2016-17,109
0,3-4-3,22,53,27,3,2016-17,102
1,3-5-2,17,63,27,3,2016-17,107
2,4-3-3,22,42,35,3,2016-17,99
3,4-4-2,17,53,35,3,2016-17,105
4,4-5-1,9,63,35,3,2016-17,107
5,5-2-3,22,31,43,3,2016-17,96
6,5-3-2,17,42,43,3,2016-17,102
7,5-4-1,9,53,43,3,2016-17,105
0,3-4-3,40,60,32,4,2016-17,132
1,3-5-2,29,73,32,4,2016-17,134
2,4-3-3,40,47,40,4,2016-17,127
3,4-4-2,29,60,40,4,2016-17,129
4,4-5-1,17,73,40,4,2016-17,130
5,5-2-3,40,34,48,4,2016-17,122
6,5-3-2,29,47,48,4,2016-17,124
7,5-4-1,17,60,48,4,2016-17,125
0,3-4-3,35,62,34,5,2016-17,131
1,3-5-2,25,75,34,5,2016-17,134
2,4-3-3,35,49,43,5,2016-17,127
3,4-4-2,25,62,43,5,2016-17,130
4,4-5-1,13,75,43,5,2016-17,131
5,5-2-3,35,35,52,5,2016-17,122
6,5-3-2,25,49,52,5,2016-17,126
7,5-4-1,13,62,52,5,2016-17,127
0,3-4-3,38,58,36,6,2016-17,132
1,3-5-2,26,72,36,6,2016-17,134
2,4-3-3,38,44,46,6,2016-17,128
3,4-4-2,26,58,46,6,2016-17,130
4,4-5-1,13,72,46,6,2016-17,131
5,5-2-3,38,30,55,6,2016-17,123
6,5-3-2,26,44,55,6,2016-17,125
7,5-4-1,13,58,55,6,2016-17,126
0,3-4-3,29,42,34,7,2016-17,105
1,3-5-2,21,52,34,7,2016-17,107
2,4-3-3,29,32,42,7,2016-17,103
3,4-4-2,21,42,42,7,2016-17,105
4,4-5-1,12,52,42,7,2016-17,106
5,5-2-3,29,22,50,7,2016-17,101
6,5-3-2,21,32,50,7,2016-17,103
7,5-4-1,12,42,50,7,2016-17,104
0,3-4-3,31,61,37,8,2016-17,129
1,3-5-2,22,71,37,8,2016-17,130
2,4-3-3,31,50,46,8,2016-17,127
3,4-4-2,22,61,46,8,2016-17,129
4,4-5-1,13,71,46,8,2016-17,130
5,5-2-3,31,37,54,8,2016-17,122
6,5-3-2,22,50,54,8,2016-17,126
7,5-4-1,13,61,54,8,2016-17,128
0,3-4-3,23,52,39,9,2016-17,114
1,3-5-2,16,62,39,9,2016-17,117
2,4-3-3,23,40,48,9,2016-17,111
3,4-4-2,16,52,48,9,2016-17,116
4,4-5-1,8,62,48,9,2016-17,118
5,5-2-3,23,28,57,9,2016-17,108
6,5-3-2,16,40,57,9,2016-17,113
7,5-4-1,8,52,57,9,2016-17,117
0,3-4-3,41,60,25,10,2016-17,126
1,3-5-2,29,70,25,10,2016-17,124
2,4-3-3,41,47,33,10,2016-17,121
3,4-4-2,29,60,33,10,2016-17,122
4,4-5-1,16,70,33,10,2016-17,119
5,5-2-3,41,33,40,10,2016-17,114
6,5-3-2,29,47,40,10,2016-17,116
7,5-4-1,16,60,40,10,2016-17,116
0,3-4-3,35,64,30,11,2016-17,129
1,3-5-2,24,77,30,11,2016-17,131
2,4-3-3,35,50,37,11,2016-17,122
3,4-4-2,24,64,37,11,2016-17,125
4,4-5-1,12,77,37,11,2016-17,126
5,5-2-3,35,35,43,11,2016-17,113
6,5-3-2,24,50,43,11,2016-17,117
7,5-4-1,12,64,43,11,2016-17,119
0,3-4-3,37,49,36,12,2016-17,122
1,3-5-2,26,58,36,12,2016-17,120
2,4-3-3,37,39,45,12,2016-17,121
3,4-4-2,26,49,45,12,2016-17,120
4,4-5-1,13,58,45,12,2016-17,116
5,5-2-3,37,29,54,12,2016-17,120
6,5-3-2,26,39,54,12,2016-17,119
7,5-4-1,13,49,54,12,2016-17,116
0,3-4-3,39,48,28,13,2016-17,115
1,3-5-2,27,58,28,13,2016-17,113
2,4-3-3,39,38,36,13,2016-17,113
3,4-4-2,27,48,36,13,2016-17,111
4,4-5-1,15,58,36,13,2016-17,109
5,5-2-3,39,28,44,13,2016-17,111
6,5-3-2,27,38,44,13,2016-17,109
7,5-4-1,15,48,44,13,2016-17,107
0,3-4-3,37,68,41,14,2016-17,146
1,3-5-2,25,79,41,14,2016-17,145
2,4-3-3,37,56,52,14,2016-17,145
3,4-4-2,25,68,52,14,2016-17,145
4,4-5-1,13,79,52,14,2016-17,144
5,5-2-3,37,41,61,14,2016-17,139
6,5-3-2,25,56,61,14,2016-17,142
7,5-4-1,13,68,61,14,2016-17,142
0,3-4-3,43,49,30,15,2016-17,122
1,3-5-2,30,58,30,15,2016-17,118
2,4-3-3,43,39,39,15,2016-17,121
3,4-4-2,30,49,39,15,2016-17,118
4,4-5-1,17,58,39,15,2016-17,114
5,5-2-3,43,29,47,15,2016-17,119
6,5-3-2,30,39,47,15,2016-17,116
7,5-4-1,17,49,47,15,2016-17,113
0,3-4-3,39,61,36,16,2016-17,136
1,3-5-2,28,72,36,16,2016-17,136
2,4-3-3,39,50,46,16,2016-17,135
3,4-4-2,28,61,46,16,2016-17,135
4,4-5-1,17,72,46,16,2016-17,135
5,5-2-3,39,38,56,16,2016-17,133
6,5-3-2,28,50,56,16,2016-17,134
7,5-4-1,17,61,56,16,2016-17,134
0,3-4-3,30,45,38,17,2016-17,113
1,3-5-2,24,55,38,17,2016-17,117
2,4-3-3,30,35,47,17,2016-17,112
3,4-4-2,24,45,47,17,2016-17,116
4,4-5-1,12,55,47,17,2016-17,114
5,5-2-3,30,25,56,17,2016-17,111
6,5-3-2,24,35,56,17,2016-17,115
7,5-4-1,12,45,56,17,2016-17,113
0,3-4-3,31,49,28,18,2016-17,108
1,3-5-2,23,59,28,18,2016-17,110
2,4-3-3,31,39,36,18,2016-17,106
3,4-4-2,23,49,36,18,2016-17,108
4,4-5-1,15,59,36,18,2016-17,110
5,5-2-3,31,28,43,18,2016-17,102
6,5-3-2,23,39,43,18,2016-17,105
7,5-4-1,15,49,43,18,2016-17,107
0,3-4-3,44,53,30,19,2016-17,127
1,3-5-2,33,64,30,19,2016-17,127
2,4-3-3,44,42,38,19,2016-17,124
3,4-4-2,33,53,38,19,2016-17,124
4,4-5-1,17,64,38,19,2016-17,119
5,5-2-3,44,29,46,19,2016-17,119
6,5-3-2,33,42,46,19,2016-17,121
7,5-4-1,17,53,46,19,2016-17,116
0,3-4-3,39,50,41,20,2016-17,130
1,3-5-2,28,60,41,20,2016-17,129
2,4-3-3,39,39,52,20,2016-17,130
3,4-4-2,28,50,52,20,2016-17,130
4,4-5-1,15,60,52,20,2016-17,127
5,5-2-3,39,28,63,20,2016-17,130
6,5-3-2,28,39,63,20,2016-17,130
7,5-4-1,15,50,63,20,2016-17,128
0,3-4-3,41,55,44,21,2016-17,140
1,3-5-2,30,65,44,21,2016-17,139
2,4-3-3,41,44,53,21,2016-17,138
3,4-4-2,30,55,53,21,2016-17,138
4,4-5-1,17,65,53,21,2016-17,135
5,5-2-3,41,30,61,21,2016-17,132
6,5-3-2,30,44,61,21,2016-17,135
7,5-4-1,17,55,61,21,2016-17,133
0,3-4-3,35,47,43,22,2016-17,125
1,3-5-2,26,56,43,22,2016-17,125
2,4-3-3,35,37,55,22,2016-17,127
3,4-4-2,26,47,55,22,2016-17,128
4,4-5-1,13,56,55,22,2016-17,124
5,5-2-3,35,27,67,22,2016-17,129
6,5-3-2,26,37,67,22,2016-17,130
7,5-4-1,13,47,67,22,2016-17,127
0,3-4-3,29,42,37,23,2016-17,108
1,3-5-2,20,50,37,23,2016-17,107
2,4-3-3,29,33,47,23,2016-17,109
3,4-4-2,20,42,47,23,2016-17,109
4,4-5-1,11,50,47,23,2016-17,108
5,5-2-3,29,23,56,23,2016-17,108
6,5-3-2,20,33,56,23,2016-17,109
7,5-4-1,11,42,56,23,2016-17,109
0,3-4-3,47,52,36,24,2016-17,135
1,3-5-2,34,63,36,24,2016-17,133
